Наименование,Признаки,ИНН,Адрес,Сайт,Дата добавления
Ломбард/комиссионный магазин Победа,Признаки нелегального кредитора,,"350018, Краснодарский край, г. Краснодар, ул. Сормовская, д. 12/7;350058, Краснодарский край, г. Краснодар, ул. Ставропольская, д. 181;350001, Краснодарский край, г. Краснодар, ул. Ставропольская, д. 120;350065, Краснодарский край, г. Краснодар, ул. Трудовой Славы, д. 11;350062, Краснодарский край, г. Краснодар, ул. Атарбекова, д. 5.",краснодар.победа-63.рф,01.02.2021
"Автоломбард-ДВ, Автозайм ДВ, Автоломбард ВЛ",Признаки нелегального кредитора,,"690000, Приморский край, г. Владивосток, ул. Магнитогорская, д. 12, ст. 5, оф. 1",avtolombardvl.ru,01.02.2021
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КОШЕЛЕК""",Признаки нелегального кредитора,2543091364,"690000, Приморский край, г. Владивосток, ул. Карбышева, д. 36 кв. 14.","zalogvl.ru, lombardvdk.ru",01.02.2021
Комиссионный магазин ломбард Рубин,Признаки нелегального кредитора,,"660050, Красноярский край, г. Красноярск, ул. Новая, д.46, пом 98;660132, Красноярский край, г. Красноярск, ул. Ольховая, д. 4;663604, Красноярский край, Канск, 40 лет Октября, д.1/4;663606, Красноярский край, Канск, Северо Западный, д.46;663613, Красноярский край, Канск, Эйдемана, д.12",vk.com/rubinlombard888,01.02.2021
breakfree.pro,Признаки финансовой пирамиды,,,"yanatretyakova.ru, breakfree.pro",01.02.2021
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""НЬЮМЭН СЕРВИС"" (Финлайн, FinLine)",Признаки нелегального кредитора,5401992224,"630015, Новосибирская обл., г. Новосибирск, ул. Гоголя, д. 204/2, кв. 218",novosib.profinline.ru,01.02.2021
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СЕТЕВЫЕ РЕШЕНИЯ""",Признаки нелегального кредитора,5506228143,"644076, Омская обл., г. Омск, ул. Романенко, д. 7А, кв. 42",zaem-omsk.com,01.02.2021
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ МИКРОКРЕДИТНАЯ КОМПАНИЯ ""ДОБРОКАССА""",Признаки нелегального кредитора,3805729659,"665712, Иркутская обл., г. Братск, жилрайон Падун, ул. Гидростроителей, д. 23А, кв. 3",,01.02.2021
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ МИКРОКРЕДИТНАЯ КОМПАНИЯ ""УДОБНО-ДЕНЬГИ ТАЙМЫР"" ",Признаки нелегального кредитора,2469002622,"647000, Красноярский край, Таймырский Долгано-Ненецкий район, г. Дудинка, ул. Матросова, д. 3 офис 20",,01.02.2021
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ МИКРОКРЕДИТНАЯ КОМПАНИЯ ""ЭКСПОНЕНТА+""",Признаки нелегального кредитора,7024044049,"636013, Томская обл., г. Северск, ул. Победы, д. 33, кв. 63",,01.02.2021
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ МИКРОКРЕДИТНАЯ КОМПАНИЯ ""ИСТОЧНИК"" ",Признаки нелегального кредитора,0220024279,"452530, Республика Башкортостан, Дуванский район, село Месягутово, ул. Промышленная, дом 9, корпус 7",,01.02.2021
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МОСОБЛСКУПКА"" (Купи-Продай)",Признаки нелегального кредитора,5053046103,"144012, Московская обл., г. Электросталь, ул. Победы, д. 1, подземный этаж, оф. 14",,01.02.2021
Imperial Crypto Market,Признаки финансовой пирамиды,,,icm.industries,01.02.2021
НАЦИОНАЛЬНАЯ АССОЦИАЦИЯ АУКЦИОННЫХ БРОКЕРОВ (НААБ),Признаки финансовой пирамиды,7814701600,"197374, г. Санкт-Петербург, ул. Мебельная, д. 2, литера К, офис 2","naabinvest.ru, нааб.рф, naab.tv, start.bizon365.ru",01.02.2021
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СЕВЕРО-ЗАПАДНЫЙ ЦЕНТР МИКРОФИНАНСИРОВАНИЯ"" (СЗЦМ)",Признаки нелегального кредитора,3525267257,"160000, Вологодская обл., г. Вологда, ул. Лермонтова, д. 5, пом. 1-Н",,01.02.2021
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЧЕРЕПОВЕЦ-МИКРОФИНАНС""",Признаки нелегального кредитора,3528217448,"162614, Вологодская обл., г. Вологда, ул. Московская, д. 2А, оф. 17",,01.02.2021
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ МИКРОКРЕДИТНАЯ КОМПАНИЯ ""ЗАЙМИ ТУТ""",Признаки нелегального кредитора,7814769775,"194044, г. Санкт-Петербург, Большой Сампсониевский пр., д. 31, лит. А, пом. 2-Н, часть 70",zaimtut24.ru,01.02.2021
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ МИКРОКРЕДИТНАЯ КОМПАНИЯ ""ФИНТЕХНИК""",Признаки нелегального кредитора,7842178365,"191317, г. Санкт-Петербург, пл. Александра Невского, д. 2, лит. Е,  пом. 35-Н, Ч.П. 1 (№ 410).",,01.02.2021
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ МИКРОКРЕДИТНАЯ КОМПАНИЯ ""НИКМАН""",Признаки нелегального кредитора,5903139919,"614000, Пермский край, г. Пермь, шоссе Космонавтов, д. 92, кв. 16",,01.02.2021
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ""ПЕТРОСТРОЙ""",Признаки нелегального кредитора,5906115994,"614015, Пермский край, г. Пермь, ул. Ленина, д. 20","pstr-perm.ru, жкшоколадпермь.рф",01.02.2021
"Gozala Enterprise ltd, Wexnes",Признаки нелегального профессионального участника рынка ценных бумаг,,,wexness.io,01.02.2021
"Seventy Solutions Ltd, 770invest",Признаки нелегального профессионального участника рынка ценных бумаг,,"Trust Company Complex, Ajeltake Road, Ajeltake Island, Majuro, Republic of Marshall Islands, MH96960","770invest.org, 770invest.com",01.02.2021
Reserve Business,Признаки нелегального профессионального участника рынка ценных бумаг,,,r-bn.com,01.02.2021
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""БАЙКАЛМИКРОФИНАНС""",Признаки нелегального кредитора,0323358033,"670031, Республика Бурятия, г. Улан-Удэ, б-р Карла Маркса, д. 11, пом. 2","mobmf.ru, комбатзайм.рф",01.02.2021
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АДЛЕРДЕНЬГИ"" (Победа Финанс)",Признаки нелегального кредитора,2367002655,"354340, 	Краснодарский край, г. Сочи, ул. Ромашек (Адлерский Р-Н), д. 42 корп. А офис 3",,01.02.2021
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АРНИКА""",Признаки нелегального кредитора,7111021739,"301360, Тульская обл., г. Алексин, ул. Тульская, д. 134-А",vernoereshenie71.ru,01.02.2021
Краснодарский залоговый центр,Признаки нелегального кредитора,,,"залог23.рф, zalog23.com",01.02.2021
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АРТ ДВ""",Признаки нелегального кредитора,2801150080,"675000, Амурская обл., г. Благовещенск, ул. 50 лет Октября, д. 154.",lombard-arter.ru,01.02.2021
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ МИКРОКРЕДИТНАЯ КОМПАНИЯ ""СЛУЖБА ЭКОНОМИЧЕСКОЙ ПОМОЩИ""",Признаки нелегального кредитора,7708345679,"107140, г. Москва, пер. Красносельский 1-й, д. 3, э подвал 1, пом. I, комн. 75, оф. 2А",,01.02.2021
АвтоЛомбард72,Признаки нелегального кредитора,,"625002, Тюменская обл., г. Тюмень, ул. Свердлова, д. 5, корп. 2 оф. 307",,01.02.2021
"DellyTrade, HS Group Ltd",Признаки нелегального профессионального участника рынка ценных бумаг,,,dellytrade.com,01.02.2021
"Rasen.pro, Rasen Holding Ltd",Признаки нелегального профессионального участника рынка ценных бумаг,,,rasen.pro,01.02.2021
"ПОТРЕБИТЕЛЬСКИЙ КООПЕРАТИВ СОЦИАЛЬНО-ЭКОНОМИЧЕСКИХ ПРОГРАММ ""АЛЬЯНС""",Признаки финансовой пирамиды,4212041430,"652500, Кемеровская обл.-Кузбасс, г. Ленинск-Кузнецкий, проспект Кирова, дом 46, офис 1",пк-альянс.рф,01.02.2021
Дружбанк,Признаки нелегального кредитора,,,drujbank.ru,01.02.2021
Niron Shopping,Признаки финансовой пирамиды,,,niron.shopping ,01.02.2021
"fx365trade, fx365online, MYfx, Systemgates Ltd,  FX365 LTD",Признаки нелегального профессионального участника рынка ценных бумаг,,,"fx365.ru, my.fx365.ru, fx365.online, myfx365.com",01.02.2021
MS Quick Sale,Признаки нелегального профессионального участника рынка ценных бумаг,,,msquicksale.com,01.02.2021
Digital Assets Solutions LTD,Признаки финансовой пирамиды,,"103 Devonshire Way, Croydon, CR0, UK","currency-mining.com, minisyte.co ",01.02.2021
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МИКРОКРЕДИТНАЯ КОМПАНИЯ НЕКСТ ИНВЕСТ ГРУПП""",Признаки нелегального кредитора,7702425060,"107031, г. Москва, ул. Рождественка, д. 5/7, стр. 2, эт. 3, пом. V, комн. 4, оф. 23",,01.02.2021
Consilium Global,Признаки нелегального профессионального участника рынка ценных бумаг,,,consilium-global.com,01.02.2021
Profi Trade,Признаки финансовой пирамиды,,,profi-trade.ru,01.02.2021
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КРАСАЛЬЯНС И К""",Признаки нелегального кредитора,2465171179,"660119, Красноярский край, г. Красноярск, ул. 40 лет Победы, д. 12, кв. 530",kras-alyans.ru,01.02.2021
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТК 515""",Признаки финансовой пирамиды,7727335877,"117218, г. Москва, ул. Новочерёмушинская, д. 23, корп. 3, эт. 1, пом. VI, комн. 1-5","taxi515.ru, taxi515lp.ru/invest",01.02.2021
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МИКРОКРЕДИТНАЯ КОМПАНИЯ ДЕНЕЖНЫЙ СОЮЗ""",Признаки нелегального кредитора,7702457915,"129090, г. Москва, ул. Гиляровского, д. 10, стр. 3, цокольный эт., пом. I, комн. 15, оф. 3","cat-cash.ru, ds-zaim.ru",01.02.2021
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МИКРОКРЕДИТНАЯ КОМПАНИЯ ДЕНЕЖНАЯ МАССА""",Признаки нелегального кредитора,7720442894,"115093, г. Москва, ул. Люсиновская, д. 36, стр. 1, комн. 7","sunrisemoney.ru, sun-momey.ru",01.02.2021
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МИКРОКРЕДИТНАЯ КОМПАНИЯ КРЕПКАЯ МОНЕТА""",Признаки нелегального кредитора,9718115332,"109316, г. Москва, ул. Сосинская, д. 43, стр. 8, эт. 2, оф. 213Б",krepkaya-moneta.ru,01.02.2021
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ МИКРОКРЕДИТНАЯ КОМПАНИЯ ""БИЛЛИОНС ФИНАНС""",Признаки нелегального кредитора,7703472190,"123112, г. Москва, наб. Пресненская, д. 12, эт. 29, каб. А30, пом. 1",billfinans.ru,01.02.2021
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ МИКРОКРЕДИТНАЯ КОМПАНИЯ ""ЭФС-ИННЕД.ОФ""",Признаки нелегального кредитора,7725372030,"125009, г. Москва, ул. Тверская, 12, с. 2, эт. 2, пом. 3, комн. 1,2",efscredit.ru,01.02.2021
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МИКРОКРЕДИТНАЯ КОМПАНИЯ ДЕНЕЖНАЯ ЦЕПОЧКА""",Признаки нелегального кредитора,7706459261,"119048, г. Москва, ул. Доватора, д. 4/7, оф. Ш",,01.02.2021
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ МИКРОКРЕДИТНАЯ КОМПАНИЯ ""СИГНАХИ""",Признаки нелегального кредитора,7720440872,"111024, г. Москва, ул. Энтузиастов 2-Я, д. 5, эт. 3, пом. V, комн. 17, оф. 12",,01.02.2021
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ МИКРОКРЕДИТНАЯ КОМПАНИЯ ""МАГФИНАНС""",Признаки нелегального кредитора,4909131022,"685099, Магаданская обл., г. Магадан, пр-т Ленина, д. 3, оф. 441Б.",,01.02.2021
"ПОТРЕБИТЕЛЬСКИЙ КООПЕРАТИВ ""МОЯ СЕМЬЯ"" ",Признаки финансовой пирамиды,0274958003,"450103, Республика Башкортостан, г. Уфа, ул. Кавказская, дом 8, корпус 1, офис 204",,01.02.2021
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МИКРОКРЕДИТНАЯ КОМПАНИЯ ""СЕРЕБРЯНЫЕ ГОРЫ""",Признаки нелегального кредитора,7734418147,"123060, г. Москва, ул. Маршала Рыбалко, д. 2, корп. 6, эт. 9, пом. I, комн.16, пом. 24",,01.02.2021
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ МИКРОКРЕДИТНАЯ КОМПАНИЯ ""БИЛЛ ПРАЙВАТ""",Признаки нелегального кредитора,9729024246,"123557, г. Москва, ул. Пресненский вал, д. 14, стр. 3",,01.02.2021
LION TRADE ONLINE LTD,Признаки нелегального профессионального участника рынка ценных бумаг,,"105 Water Lane, Leeds, West Yorkshire, United Kingdom, LS11 5WD",liontradeonline.ltd,01.02.2021
"Комиссионный магазин ""СКУПКА""",Признаки нелегального кредитора,,"241035, Брянская обл., г. Брянск, ул. Ульянова, д. 62",,01.02.2021
"ПОТРЕБИТЕЛЬСКИЙ КООПЕРАТИВ СОЦИАЛЬНО-МАТЕРИАЛЬНОЙ ПОМОЩИ ""ТОЧКА ОПОРЫ""",Признаки финансовой пирамиды,3525451560,"160012, Вологодская обл., г. Вологда, Советский пр., д. 162, пом. 6",pkopora.ru,01.02.2021
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ООО ""ФИНСЕРВИС""",Признаки нелегального кредитора,9718154050,"107065, г. Москва, ул. Камчатская, д. 4, корп. 2, эт. 1,  пом. VIII, ком. 1, оф. 103",social.finfinservice.com,01.02.2021
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""БОСКО-ФИНАНС""",Признаки нелегального кредитора,7743239112,"123001, г. Москва, ул. Садовая-Кудринская, д. 25, эт. 4, пом. I, комн. 18",bsk.group,01.02.2021
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ МИКРОКРЕДИТНАЯ КОМПАНИЯ ""ТИАРА""",Признаки нелегального кредитора,7751041204,"119017, г. Москва, ул. Новокузнецкая, д. 1, стр. 3, оф. 52",mkk-tiara.ru,01.02.2021
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МИКРОКРЕДИТНАЯ КОМПАНИЯ ""ДЕНЕЖКИН ДВОР""",Признаки нелегального кредитора,6316264177,"443011, Самарская обл., г. Самара, ул. Травяная, д. 20, кв. 7",,01.02.2021
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ МИКРОКРЕДИТНАЯ КОМПАНИЯ ""ДЕНЬГИ-КОЛОС""",Признаки нелегального кредитора,1649023130,"423253, Республика Татарстан, Ленинский район, г. Лениногорск, ул. Заварыкина, дом 4А, квартира 4",,01.02.2021
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ МИКРОКРЕДИТНАЯ КОМПАНИЯ ""МУЛЬТИКРЕДИТ""",Признаки нелегального кредитора,4345407563,"610046, Кировская обл., г. Киров, ул. Захватаева, дом 23, офис 3",,01.02.2021
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ МИКРОКРЕДИТНАЯ КОМПАНИЯ ""ДАДИМ НАЛИЧНЫЕ В ДОЛГ – ОБЪЕДИНЕННЫЕ КОЛЛЕКТОРЫ""",Признаки нелегального кредитора,2901262750,"163002, Архангельская обл., г. Архангельск, ул. Павла Усова, д. 45, пом. 19",mkkdnvddok.ru,01.02.2021
"ТОВАРИЩЕСТВО НА ВЕРЕ ""ЛЯРИБА-ФИНАНС"" (LaRiba) ",Признаки нелегального кредитора,0570007216,"367029, Республика Дагестан, г. Махачкала, ул. Абубакарова, д. 12",lariba.ru,01.02.2021
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИНТЕРИНВЕСТ""",Признаки финансовой пирамиды,7703699699,"121069, г. Москва, пер. Скатертный, д. 5, стр. 1.","interinvest.broker, interinvest.pro, interinvest.finance",01.02.2021
12Trader,Признаки нелегального профессионального участника рынка ценных бумаг,,,12trader.com,01.02.2021
Service Forex,Признаки нелегального профессионального участника рынка ценных бумаг,,,s-forex.org,01.02.2021
TDI Partners,Признаки нелегального профессионального участника рынка ценных бумаг,,,tdipartners.com,01.06.2021
BenchMark Finance AD,Признаки нелегального профессионального участника рынка ценных бумаг,,"Bulgaria, Sofia, Cherny vrch st, 32A, floor 2","benchmarkfx.ru, benchmarkfx.co.uk, benchmark.bg, benchmarkfx.es, benchmarkfx.fr, benchmarktr.com, benchmarkfx.de, benchmarkcn.com, benchmarkfx.pl, benchmarkru.com",01.02.2021
"Maximax Capital Management LTD, Hillview Capital Management LTD, Aiia International OU, VIRETTA SPOLKA Z OGRANICZONA ODPOWIEDZIALNOSCIA, Maxima Trade",Признаки нелегального профессионального участника рынка ценных бумаг,,,"maximatrade.net, birtrade.com",01.02.2021
"TMA Consulting Limited, Tradefxx",Признаки нелегального профессионального участника рынка ценных бумаг,,,tradefxx.com,01.02.2021
Top-Trader,Признаки нелегального профессионального участника рынка ценных бумаг,,,top-trader.company,01.02.2021
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ МИКРОКРЕДИТНАЯ КОМПАНИЯ ""МИЛЛИОН ПЛЮС""",Признаки нелегального кредитора,0255018847,"452000, Республика Башкортостан, район Белебеевский, г. Белебей, ул. им. М.Г. Амирова, д. 7, корпус Б, кв. 74",million-plus.ru,01.02.2021
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГОРОДСКОЙ ПЛЮС""",Признаки нелегального кредитора,3528253460,"162614, Вологодская обл., г. Череповец, ул. Максима Горького, д. 32, лит. А1, этаж 2, пом 4",,01.02.2021
"Комиссионка, деньги до зарплаты, займы",Признаки нелегального кредитора,,"162614, Вологодская обл., г. Череповец, ул. Луначарского, д. 47",24-dengi.ru,01.02.2021
"Ломбард ""Скупка №1. Дисконт. Залог""",Признаки нелегального кредитора,,"400107, Волгоградская обл., г. Волгоград, пр-т Маршала Жукова, 111",,01.02.2021
Скупка. Ремонт. Залог,Признаки нелегального кредитора,,"400048, Волгоградская обл., г. Волгоград, пр-т Маршала Жукова, 169а",,01.02.2021
Скупка Старт,Признаки нелегального кредитора,,"400048, Волгоградская обл., г. Волгоград, пр-т Маршала Жукова, 165",instagram.com/skupka.volgograd.start,01.02.2021
"Ломбард ""Прием на комиссию и продажа ювелирных украшений""",Признаки нелегального кредитора,,"400120, Волгоградская обл., г. Волгоград, ул. Ивановна, д. 23",,01.02.2021
"СБЕРЕГАТЕЛЬНЫЙ ПОТРЕБИТЕЛЬСКИЙ КООПЕРАТИВ ""КАМСКИЙ СБЕРЕГАТЕЛЬНЫЙ ФОНД""",Признаки финансовой пирамиды,1650376732,"423812, Республика Татарстан, г. Набережные Челны, проспект Мира, д. 25В",lp.kamsf.ru,01.02.2021
"Комиссионный магазин ""Круговорот""",Признаки нелегального кредитора,,"390044, Рязанская обл., г. Рязань, ул. Комбайновая, д. 22, к. 1, пом. Н3",vk.com/club187333894,01.02.2021
Цифровой,Признаки нелегального кредитора,,"391803, Рязанская обл., г. Скопин, ул. Высоковольтная, д. 13 Б (ТЦ «Скопинский Евромаркет»), павилион 73",,01.02.2021
Альянс Кредит,Признаки нелегального кредитора,,,all-credite.ru,01.02.2021
Ломбард Агат,Признаки нелегального кредитора,,"664009, Иркутская обл., г. Иркутск, ул. Советская, д. 77",,01.02.2021
Game of Lotto,Признаки финансовой пирамиды,,,gameoflotto.com,01.02.2021
"Deriv (FX) Ltd, Deriv (V) Ltd, Binary (V) Ltd, Binary (SVG) Ltd, Deriv (BVI) Ltd, Deriv (SVG) LLC",Признаки нелегального профессионального участника рынка ценных бумаг,,,deriv.com,01.02.2021
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЛЕГРИМ"" (MMK Investment)",Признаки финансовой пирамиды,7724318866,"115304, г. Москва, ул. Кантемировская, д. 3 корп.3 Э/пом./K/офис 1/8/5/60 ","mmkinvestment.com, rumetall.ru",01.02.2021
Авто Эксперт,Признаки нелегального кредитора,,"653007, Кемеровская обл.-Кузбасс, г. Прокопьевск, ул. Кемеровская, д. 20",instagram.com/expert_avto,01.02.2021
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АТЛАНТ""",Признаки нелегального кредитора,4223126251,"653039, Кемеровская обл.-Кузбасс, г. Прокопьевск, проспект Ленина, д. 51 офис 209",instagram.com/expert_avto,01.02.2021
ALTER-A,Признаки нелегального кредитора,,"390046, Рязанская обл., г. Рязань, ул. Есенина, д. 65, корп. 2",,01.02.2021
"Комиссионный магазин ""ВАУ Скупка""",Признаки нелегального кредитора,,"390013, Рязанская обл., г. Рязань, Первомайский проспект, д. 66",,01.02.2021
"ENERGYBROK, ENERGY BROK LTD ",Признаки нелегального профессионального участника рынка ценных бумаг,,"75 Uxbridge Road, London, London, United Kingdom, W12 8NR",energybrok.com,01.02.2021
"DJ-Market, Dow Jones",Признаки нелегального профессионального участника рынка ценных бумаг,,,dj-market.trade,01.02.2021
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЛИМОН""",Признаки нелегального кредитора,1435352810,"677001, Республика Саха (Якутия), г. Якутск, ул. Пояркова, д. 12 кв. 53",,01.02.2021
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СИРИУС ПЛЮС""",Признаки нелегального кредитора,1435344464,"677001, Республика Саха (Якутия), г. Якутск, ул. Рыдзинского, д. 18, кор. 11, кв. 68",,01.02.2021
"Магазин комиссионных товаров ""КомиSSионка""",Признаки нелегального кредитора,,"142301, Московская обл., г. Чехов, Вокзальная площадь, 2а;142100, Московская обл., г. Подольск, ул. Советская, 25;142209, Московская обл., г. Серпухов, ул. Чернышевского, 25;143302, Московская обл., г. Наро-Фоминск, ул. Полубоярова, 22;249037, Калужская обл., г. Обнинск, Привокзальная площадь, 1 ",commission.net,01.02.2021
Eurwaxs LTD,Признаки нелегального профессионального участника рынка ценных бумаг,,"265 Broad Street, Birmingham, West Midlands, United Kingdom, B1 2DS",eurwaxs.com,01.02.2021
Комиссионный магазин МОСОБЛСКУПКА,Признаки нелегального кредитора,,,mosoblskupka.ru,01.02.2021
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЯРМАРКА КОММЕРЧЕСКОГО ТРАНСПОРТА""",Признаки нелегального кредитора,7448161910,"454001, Челябинская обл., г. Челябинск, ул. Университетская набережная, д. 60, пом. 1",автоломбардярмарка.рф,01.02.2021
комиссионный магазин Везуха,Признаки нелегального кредитора,,"456604, Челябинская обл., г. Копейск, ул. 4 Пятилетки,64 (рынок «Народный двор»)",komiss74.ru,01.02.2021
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТЕХНИКА""",Признаки нелегального кредитора,7415089873,"456317, Челябинская обл., г. Миасс, ул. Винокурова, д. 17",lombardmiass.ru,01.02.2021
"ПОТРЕБИТЕЛЬСКИЙ КООПЕРАТИВ ПО РАЗВИТИЮ ЭКОНОМИЧЕСКИХ И СОЦИАЛЬНЫХ ПРОГРАММ ДЛЯ ПАЙЩИКОВ ""МЕДФАРМ""",Признаки финансовой пирамиды,5027286050,"140030, Московская обл., г. Люберцы, рабочий поселок Малаховка, Касимовское шоссе, дом 1А, литера В1, помещение 11.",pkmedfarm.ru,01.02.2021
"ПОТРЕБИТЕЛЬСКИЙ КООПЕРАТИВ СОЦИАЛЬНОГО СОТРУДНИЧЕСТВА И ВЗАИМОПОМОЩИ ""СОДРУЖЕСТВО""",Признаки нелегального кредитора,6320040035,"445030, Самарская обл., г. Тольятти, ул. Тополиная, д. 38, оф. 2",,01.02.2021
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ МИКРОКРЕДИТНАЯ КОМПАНИЯ ""МАКС.КРЕДИТ""",Признаки нелегального кредитора,7801640661,"191187, г. Санкт-Петербург, ул. Шпалерная, д. 8, лит. А, пом. 16-н",uran10.ru,01.02.2021
Arcum LTD,Признаки нелегального профессионального участника рынка ценных бумаг,,,arcum.com,01.02.2021
Crypton Broker,Признаки нелегального профессионального участника рынка ценных бумаг,,,cryptonbroker.com,01.02.2021
Wawe Global Group Ltd,Признаки нелегального профессионального участника рынка ценных бумаг,,"63/66 Hatton Garden Fifth Floor, Suite 23, London, England, EC1N 8LE",rencapitalglobal.com,01.02.2021
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ МИКРОКРЕДИТНАЯ КОМПАНИЯ ""МОБИУСПЕХ""",Признаки нелегального кредитора,6623100004,"622036, Свердловская обл., г. Нижний Тагил, ул. Юбилейная, д. 51А, оф. 27",займиуспех.рф,01.02.2021
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ МИКРОКРЕДИТНАЯ КОМПАНИЯ ""УДОБНО-ДЕНЬГИ""",Признаки нелегального кредитора,6679014861,"620144, Свердловская обл., г. Екатеринбург, ул. Куйбышева, д.55, офис 526",,01.02.2021
